ad,domain,email,telefon,sehir,kaynak
Tiba Turkey Taşımacılık A.Ş.,tibagroup.com,kkaya@tibagroup.com,0537 950 85 80,İSTANBUL,UTIKAD
Tim Global Lojistik A.Ş.,timglobal.com.tr,info@timglobal.com.tr,0850 255 08 08,İSTANBUL,UTIKAD
TİO Lojistik Taşımacılık Depolama Danışmanlık Kimya Satış Pazarlama San. ve Tic. Ltd. Şti.,tiolojistik.com.tr,info@tiolojistik.com.tr,0216 688 08 46 - 0216 688 48 46,İSTANBUL,UTIKAD
TİT Ulus. Nak. Deri Teks. Gıda San. ve Tic. Ltd. Şti.,tittransport.com,tit@tittransport.com,0216 455 47 63,İSTANBUL,UTIKAD
TLS Lojistik A.Ş.,tlslojistik.com,,444 94 11,İSTANBUL,UTIKAD
TMA Transcontinental Uluslararası Nakliyat Ticaret ve Gümrükleme A.Ş.,tmatrans.com,a.akova@tmatrans.com,0212 244 54 28 - 0212 245 43 14,İSTANBUL,UTIKAD
TMGD TR Mühendislik Ltd. Şti.,tmgdmuhendislik.com,info@tmgdmuhendislik.com,0212 674 17 87,İSTANBUL,UTIKAD
Tolkun Lojistik Ltd. Şti.,tolkun.org,erkut@tolkun.org,0216 348 73 48,İSTANBUL,UTIKAD
Trade Factory Global Lojistik Dış Tic. Ltd. Şti.,global-tradefactory.com,,0216 266 76 60,İSTANBUL,UTIKAD
Trans Global Proje Lojistik Ltd. Şti.,tglobal.com,,0212 274 71 61,İSTANBUL,UTIKAD
Transalkım Uluslararası Nak. ve Tic. Ltd. Şti.,transalkim.com.tr,muhasebe@transalkim.com.tr,0212 774 22 70,İSTANBUL,UTIKAD
Transhat Uluslararası Taşımacılık Tic. Ltd. Şti.,transhat.com,info@transhat.com,0212 426 41 35,İSTANBUL,UTIKAD
Transmap Lojistik A.Ş.,trans-map.com,huseyin.ozkan@trans-map.com,0216 415 34 14,İSTANBUL,UTIKAD
Transmec Uluslararası Taşımacılık Tic. Ltd. Şti.,transmecgroup.it,transmec@transmecgroup.it,0212 251 53 54,İSTANBUL,UTIKAD
Transorient Global Lojistik A.Ş.,transorient.com.tr,info@transorient.com.tr,0212 467 26 00,İSTANBUL,UTIKAD
Trasant Uluslararası Nakliyat ve Dış Tic. Ltd. Şti.,trasant.com,trasant@trasant.com.tr,0212 854 35 00,İSTANBUL,UTIKAD
Trendyol Lojistik A.Ş.,trendyol.com,,0212 331 0200,İSTANBUL,UTIKAD
Tria Lojistik Hizmetler Ticaret A.Ş.,trialogistics.com,tria@tlh.com.tr,0324 328 20 50,MERSİN,UTIKAD
Troya İç ve Dış Ticaret Dan. Paz. ve Taş. Ltd. Şti.,troyatrade.com.tr,tukenmez@troyatrade.com.tr,0312 479 10 94,ANKARA,UTIKAD
Trukker Teknoloji Ltd. Şti.,trukker.com,,0216 440 40 81,İSTANBUL,UTIKAD
TTR Lojistik Hizmetleri Ticaret A.Ş.,ttrlog.com,,0212 653 34 45,İSTANBUL,UTIKAD
Tuaz Nak. Aracılık Hiz. İnş. San. ve Tic. Ltd. Şti.,tuaz.com.tr,muhasebe@tuaz.com.tr,0541 334 54 52,TEKİRDAĞ,UTIKAD
Tunaset Biofarma Lojistik Hizmetleri A.Ş.,biotunaset.com,operations@biotunaset.com,0212 428 52 35,İSTANBUL,UTIKAD
Turing Global Lojistik ve Bilişim Hizmetleri A.Ş.,turinglog.com,info@turinglog.com,0850 255 20 41,İZMİR,UTIKAD
Turklog Uluslararası Taş. ve Loj. A.Ş.,turklog.com.tr,info@turklog.com.tr,0216 755 44 55,İSTANBUL,UTIKAD
Turkon Lojistik A.Ş.,turkon.com,info@turkon.com,0216 544 18 00,İSTANBUL,UTIKAD
Turkroro Denizcilik ve Taşımacılık A.Ş.,turkroro.com.tr,info@turkroro.com.tr,0212 807 27 71,İSTANBUL,UTIKAD
Turnak Gümrük Müşavirliği Ltd. Şti.,turnakgumruk.com.tr,ETA@turnakgumruk.com.tr,0212 413 77 00,İSTANBUL,UTIKAD
Tüfekçi Fuarcılık Organizasyon Uluslararası Nakliyat Gıda Dış Tic. San. ve Tic. Ltd. Şti.,tufekcitrans.com,g.tufekci@tufekcitrans.com,0216 577 20 67,İSTANBUL,UTIKAD
Türk Hava Yolları A.O.,thy.com.tr,baharc@thy.com,0212 463 63 63,İSTANBUL,UTIKAD
Türkmen Grup Lojistik Hizmetleri A.Ş.,turkmenlogistics.com,info@turkmenlogistics.com,0212 315 47 00,İSTANBUL,UTIKAD
UKGS Ulus. Kargo Gönderim Serv. ve Tic. A.Ş.,ukgs.net,info@ukgs.com.tr,0850 300 85 47,İSTANBUL,UTIKAD
Ultima Uluslararası Taş. Loj. ve Dış Tic. Ltd. Şti.,ultimalogistics.com,info@ultimalogistics.com,0216 688 26 00,İSTANBUL,UTIKAD
Ulukom Bilg. Yazılım Donanım Danış. ve Tic. A.Ş.,ulukom.com.tr,erkin@ulukom.com.tr,0216 680 35 35,İSTANBUL,UTIKAD
Ulusal Lojistik Antrepo Hiz. Dış Tic. A.Ş.,ulusalantrepo.com.tr,info@ulusalantrepo.com.tr,0216 622 53 83,İSTANBUL,UTIKAD
Ulustrans Lojistik A.Ş.,ulustrans.com.tr,finans@ulustrans.com.tr,0212 411 45 45,İSTANBUL,UTIKAD
UMT Uluslararası Taşımacılık A.Ş.,umtlogistic.com,info@umtlogistic.com,0212 665 30 38 - 0544 972 20 80,İSTANBUL,UTIKAD
Unico Global Uluslararası  Taş. Ltd. Şti.,unicologx.com,turkey@unicologx.com,0212 871 25 26,İSTANBUL,UTIKAD
Universal Denizcilik Proje Taş. ve Tic. A.Ş,universalproject.com.tr,project@universalproject.com.tr,0216 680 09 91,İSTANBUL,UTIKAD
UPS SCS Uluslararası Nakliyat Ltd. Şti.,ups.com,bburgazlioglu@ups.com,0212 413 22 22 - 0212 413 24 43,İSTANBUL,UTIKAD
UTG Uluslararası Nakliyat Ltd. Şti.,utg.com.tr,utg@utg.com.tr,0212 211 22 33,İSTANBUL,UTIKAD
Uzman Yük Sabitleme ve Lojistik Hiz. Ltd. Şti.,uzmangloballogistics.com.tr,project@uzmangloballogistics.com.tr,0850 220 21 91,MERSİN,UTIKAD
Ülgen Denizcilik ve Lojistik San. Tic. A.Ş.,ulgen.com,logistics@ulgen.com,0216 478 48 49,İSTANBUL,UTIKAD
V Mar Organizasyon Nakliyat ve Tic. Ltd. Şti.,v-mar.org,info@v-mar.org,0212 243 80 80,İSTANBUL,UTIKAD
Van Trans Taşımacılık İç ve Dış Tic. Ltd. Şti.,vantrans.com.tr,vantrans@vantrans.com.tr,0432 215 66 39,VAN,UTIKAD
Vanguard Turkey Lojistik Hizmetler A.Ş.,vls-global.com,finance.tr@vanguardlogistics.com,0216 410 85 55,İSTANBUL,UTIKAD
Vavien Lojistik A.Ş.,vavien.com,sales@vavienlogistics.com,0224 909 11 19,BURSA,UTIKAD
Vazin Lojistik Dış Ticaret A.Ş.,vazinlojistik.com,info@vazinlojistik.com,0216 573 69 98,İSTANBUL,UTIKAD
Vegamar Denizcilik ve Taşımacılık Tic. A.Ş.,vegamar.com,info@vegamar.com,0212 249 93 77,İSTANBUL,UTIKAD
Velox Line Den. Loj. Tic. Ltd. Şti.,velocline.com,info@veloxline.com,0536 970 08 82,MERSİN,UTIKAD
Vera Lojistik A.Ş.,veralog.com,info@veralog.com,0212 211 50 10,İSTANBUL,UTIKAD
Verimex Transit Lojistik A.Ş.,verimextransit.com,info@verimextransit.com,0212 803 06 06,İSTANBUL,UTIKAD
Veritas Ticaret Lojistik A.Ş.,veritasas.com,veritas@veritasas.com,444 14 79,İSTANBUL,UTIKAD
Veysel Oğulları Loj. Nak. Kiralama Turizm Hayvancılık Gıda İth. İhr. ve Tic. Ltd. Şti.,veyselogullari.com.tr,veysel@veyselogullari.com.tr,0312 812 29 49,ANKARA,UTIKAD
Viking Kargo Ltd. Şti.,vikingcargo.com.tr,info@vikingcargo.com.tr,0212 334 27 70,İSTANBUL,UTIKAD
VİP Uluslararası Taşımacılık ve Dış Ticaret A.Ş.,viptransport.com.tr,info@viptransport.com.tr,0212 771 62 00,İSTANBUL,UTIKAD
VTK Lojistik Dış Ticaret ve Turizm A.Ş.,vtk.com.tr,volkan.tek@vtk.com.tr,0533 922 31 40,İSTANBUL,UTIKAD
Waylog Ulus. Taş. Hiz. Ltd. Şti.,waylog.com.tr,operation@waylog.com.tr,0850 441 09 56,MERSİN,UTIKAD
Weld Uluslararası Taşımacılık Hizmetleri A.Ş.,weld-int.com,,0212 697 00 77,İSTANBUL,UTIKAD
Well Enerji Uluslararası Nakliyat ve Loj. A.Ş.,well.uk.com,serap@well.com.tr,0216 580 85 40,İSTANBUL,UTIKAD
Wing Loj. Ulus. Taş. ve Otom. Sist. Tic. Ltd. Şti.,winglojistik.com.tr,okan.acar@winglojistik.com.tr,0530 039 77 88,İZMİR,UTIKAD
Wiz Lojistik Ticaret Ltd. Şti.,wizlog.com.tr,muhasebe@wizlog.com.tr,0850 216 34 27,İSTANBUL,UTIKAD
WİZGROUP Kurumsal Tedarik ve Lojistik A.Ş.,wizgroup.com.tr,info@wizlog.com.tr,0342 215 01 90,GAZİANTEP,UTIKAD
Wonderland Lojistik Servisler Taş. Tic. Ltd. Şti.,wonderlandlojistik.com,info@wonderlandlojistik.com,0212 302 01 07,İSTANBUL,UTIKAD
World Courier Taşımacılık ve Lojistik Hizmetleri Tic. Ltd. Şti.,worldcourier.com,cselcuk@worldcourier.com.tr,0212 541 10 55,İSTANBUL,UTIKAD
WWL Turkey Lojistik A.Ş.,worldwidelogisticsltd.com,,0212 954 00 99,İSTANBUL,UTIKAD
Yakup Lojistik Hizmetleri İnşaat Nakliyat Gıda Sanayi ve Ticaret Ltd. Şti.,yakuplojistik.com,info@yakuplojistik.com,0326 221 37 77,HATAY,UTIKAD
Yedaiah Int. Group Loj.Dış Tic. İth. İhr. Ltd. Şti.,yedaiah.com,info@yedaiah.com,0850 390 27 28,AYDIN,UTIKAD
Yeditepe Taşımacılık A.Ş.,yeditepecargo.com,info@yeditepecargo.com,0232 463 03 52,İZMİR,UTIKAD
Yekaş & Fides Global Lojistik A.Ş.,yekas.com.tr,m.guler@yekas.com,0212 910 00 00,İSTANBUL,UTIKAD
Yeniay Lojistik A.Ş.,yeniaylojistik.com.tr,info@yeniaylojistik.com.tr,0212 452 40 01,İSTANBUL,UTIKAD
Yeskon Konteyner Taşımacılık Hizmetleri Denizcilik ve Dış Tic. A.Ş.,yeskon.com.tr,info@yeskon.com.tr,0232 465 11 25,İZMİR,UTIKAD
YGL Lojistik Ticaret A.Ş.,ygllogistics.com,info@ygllogistics.com,0224 242 15 11,BURSA,UTIKAD
Yılnak Proje ve Ağır Taşıma Servisi A.Ş.,yilnak.com.tr,yilnak@yilnak.com.tr,444 4 956,ANKARA,UTIKAD
Yrt Global Lojistik ve Dış Ticaret A.Ş.,yrtglobal.com,muhasebe@yurtintermodal.com,0850 888 5 324,MERSİN,UTIKAD
YSL Uluslararası Nak. Dış Tic. A.Ş.,yslogistic.com,info@yslogistic.com,0216 369 76 20,İSTANBUL,UTIKAD
Yukcon Log. Den. ve Taş. Hiz. San. ve Tic. Ltd. Şti.,yukconlogistics.com,info@yukconlogistics.com,0232 311 29 11,İZMİR,UTIKAD
Yusen İnci Lojistik ve Ticaret A.Ş.,yusen-logistics.com,info@tr.yusen-logistics.com,0212 259 37 77,İSTANBUL,UTIKAD
Yüce Transport Uluslararası Taşımacılık A.Ş.,yucetrans.com,yuce@yucetrans.com,0212 347 47 56,İSTANBUL,UTIKAD
Zafer Tank Taşıma Uluslararası Nakliyat Turizm ve Tic. Ltd. Şti.,zafertanktasima.com,info@zafertanktasima.com,0216 575 03 17 - 0262 751 44 43,İSTANBUL,UTIKAD
Zen Ulaştırma ve Loj. Hiz. San. Tic. Ltd. Şti.,zenulastirma.com,info@zenulastirma.com,0342 606 02 22,GAZİANTEP,UTIKAD
ZLS Danışmanlık Dış Ticaret Ltd. Şti.,zls-logistik.de,,0534 719 53 53,İSTANBUL,UTIKAD
27 ŞAHİN LOJİSTİK SAN.VE TİC.LTD.ŞTİ.,sahinlojistik27.com,,+903429097404,Gaziantep,UND
2K HEDEF ULUSLARARASI NAKLİYAT VE PAZ. TİC. LTD. ŞTİ.,2khedef.com,,02165104660,İstanbul,UND
7KITA LOJİSTİK OTOMOTİV NAKLİYAT İNŞ.TAR.HAY.İTH.İHR.SAN.VE TİC.LTD.ŞTİ.,,,,Mardin,UND
ABA PROJECT ULUS. TAŞ. VE DIŞ TİC. LTD. ŞTİ.,abaproject.com.tr,,02325024400,İzmir,UND
ABA TRANS TAŞIMACILIK İTH. İHR. SAN.VE TİC. LTD. ŞTİ.,abatranstasimacilik.com,,+905325951335,Gaziantep,UND
ABA TUR ULUS. LOJİSTİK SAN. VE TİC. LTD. ŞTİ.,,,+905322155111,Gaziantep,UND
ABANT GLOBAL LOJİSTİK TİC. SAN. LTD. ŞTİ.,abantglobal.com,,+903742227575,Bolu,UND
ABANT NAKLİYAT TİC.VE SAN.A.Ş.,abantnakliyat.com,,03742152181,Bolu,UND
ABC ULUS. TRANSPORT TİC. VE SAN. A.Ş.,abclojistik.com,,+903523114040,Kayseri,UND
ABS İNTERNATİONAL REMOVALS TRANSPORT KARGO TİC.LTD.ŞTİ.,abstransport.com.tr,,+908502152727,Gaziantep,UND
ACAPET TAŞ.AKAR.TİC.LTD.ŞTİ.,acapet.com,,+03123977839,Ankara,UND
ACAR GLOBAL LOJİSTİK VE DIŞ TİC. LTD. ŞTİ.,acrlojistik.com.tr,,+905303916353,İstanbul,UND
AÇAR LOJİSTİK TAŞ.EMLAKÇILIK OTOMOTİV TEL.MAR.İTH.İHR.TİC.LTD.ŞTİ.,acarlogs.com,,+903262142079,Hatay,UND
AÇARLAR ULUSLARARASI TAŞ. İÇ VE DIŞ TİC.LTD.ŞTİ.,acarlartransport.com,,+902127360315,İstanbul,UND
ACETOĞLU PET.ÜRÜN.OTOM.NAK.İNŞ.GIDA.LTD.ŞTİ.,acetoglu.com,,+905324024074,Mersin,UND
